epoch,acc,loss,val_acc,val_loss
0,0.74248366165,0.524806164254,0.504705883124,0.751146646107
1,0.812352937031,0.419744923808,0.495294118629,1.0951077342
2,0.843725490804,0.361648512627,0.531764708898,1.21722779905
3,0.869411762633,0.313471836787,0.518235290752,1.73899108522
4,0.887712419423,0.272529454257,0.831176466802,0.375761358177
5,0.903660133773,0.238349466493,0.741764703218,0.862948400133
6,0.921045755249,0.205572522884,0.68000000014,1.80122926656
7,0.929738562092,0.180763068883,0.705294121714,0.785149511169
8,0.93803921673,0.164547546919,0.508235286264,6.63090475868
9,0.942745100829,0.152661596443,0.839999998317,0.426180615145
10,0.946274514292,0.137633454469,0.904705885579,0.232051519787
11,0.953594771476,0.12429146454,0.913529413588,0.250610831029
12,0.958692817127,0.109494701247,0.811176464838,0.519190111581
13,0.966013078207,0.0955928199091,0.943529409521,0.148880021099
14,0.966274515087,0.094392935508,0.932352939073,0.181395621861
15,0.967647065135,0.0873765142428,0.940000001122,0.17511626596
16,0.972745107669,0.0759473141721,0.926470591741,0.195271083537
17,0.975032686018,0.0723998731282,0.917058825493,0.198416128755
18,0.974183015964,0.0721546585605,0.914117648321,0.270345908316
19,0.977254912355,0.0614057543925,0.879411764005,0.446734780774
